,seed,nsim,ntaxa,lambda,mu,nu,M,Y,d_0,model,ngt,ngenes,rho,q,q10,q11,q12,q2,q3,A,A1,A2,B,C,C1,C2,D0good,D0anom,D0ambi,D1good,D1anom,D1ambi,D2good,D2anom,D2ambi,D0g_ex,D0a_ex,D1g_ex,D1a_ex,D2g_ex,D2a_ex,time
71,9391,800,6,3,2.7,1.5,0.5,0.25,0.2,1,300,297.675,0,12000,7922,2097,757,1131,93,1888,757,1131,1888,629,58,571,7202,13,2804,483,0,274,18,10,1103,10019,0,732,25,1117,14,137.491
72,9392,800,8,3,2.7,1.5,0.5,0.25,0.2,1,300,296.946428571429,0,56000,34805,12176,3940,4509,570,8449,3940,4509,8449,2592,175,2417,38444,13,8524,2794,9,1137,28,29,4452,46981,0,3902,38,4469,40,419.859
73,9393,800,4,0.1,0.01,0.05,0.25,0.25,6,1,300,299.625,0,800,640,82,22,55,1,77,22,55,77,2,1,1,707,0,15,21,0,1,37,0,18,722,0,21,1,55,0,54.202
74,9394,800,6,0.1,0.01,0.05,0.25,0.25,6,1,300,298.125,0,12000,9120,1693,477,635,75,1112,477,635,1112,67,2,65,10658,3,152,469,0,8,407,0,228,10813,0,473,4,631,4,142.818
75,9395,800,8,0.1,0.01,0.05,0.25,0.25,6,1,300,298.741071428571,0,56000,40329,9533,2959,2944,235,5903,2959,2944,5903,244,12,232,49399,0,463,2897,1,61,1839,0,1105,49862,0,2952,7,2944,0,396.592
76,9396,800,4,0.3,0.03,0.15,0.25,0.25,2,1,300,299.625,0,800,653,74,28,44,1,72,28,44,72,9,1,8,703,0,24,25,0,3,13,0,31,727,0,27,1,44,0,52.69
77,9397,800,6,0.3,0.03,0.15,0.25,0.25,2,1,300,298.9,0,12000,8679,1717,718,842,44,1560,718,842,1560,168,10,158,10067,0,329,696,0,22,229,2,611,10396,0,715,3,838,4,134.405
78,9398,800,8,0.3,0.03,0.15,0.25,0.25,2,1,300,297.508928571429,0,56000,39751,9669,3094,3021,465,6115,3094,3021,6115,575,28,547,48191,0,1229,2975,8,111,814,2,2205,49420,0,3062,32,3013,8,391.226
79,9399,800,4,1,0.1,0.5,0.25,0.25,0.6,1,300,299.25,0,800,646,86,35,31,2,66,35,31,66,12,1,11,606,0,126,26,1,8,3,0,28,732,0,33,2,30,1,53.939
80,9400,800,6,1,0.1,0.5,0.25,0.25,0.6,1,300,298.8,0,12000,9020,1712,493,727,48,1220,493,727,1220,285,17,268,9787,4,941,414,2,77,31,0,696,10732,0,487,6,725,2,134.503
81,9401,800,8,1,0.1,0.5,0.25,0.25,0.6,1,300,298.258928571429,0,56000,39173,10340,2777,3385,325,6162,2777,3385,6162,1208,49,1159,46265,5,3243,2463,3,311,214,5,3166,49513,0,2753,24,3362,23,394.958
82,9402,800,4,3,0.3,1.5,0.25,0.25,0.2,1,300,299.625,0,800,636,77,38,48,1,86,38,48,86,34,7,27,432,5,276,19,0,19,0,0,48,713,0,36,2,48,0,53.607
83,9403,800,6,3,0.3,1.5,0.25,0.25,0.2,1,300,298.525,0,12000,8967,1773,531,670,59,1201,531,670,1201,380,21,359,7664,8,3068,355,0,176,5,2,663,10740,0,518,13,670,0,133.894
