"","seed","nsim","ntaxa","lambda","mu","nu","M","Y","d_0","model","ngt","q","q10","q11","q12","q2","q3","A","A1","A2","B","C","C1","C2","D"
"81",9401,200,8,1,0.1,0.5,0.25,0.25,0.6,1,200,14000,9818,2645,718,730,89,1448,718,730,1448,264,10,254,0
"82",9402,200,4,3,0.3,1.5,0.25,0.25,0.2,1,200,200,167,14,4,15,0,19,4,15,19,9,2,7,0
"83",9403,200,6,3,0.3,1.5,0.25,0.25,0.2,1,200,3000,2284,432,126,155,3,281,126,155,281,122,12,110,0
"84",9404,200,8,3,0.3,1.5,0.25,0.25,0.2,1,200,14000,9370,2867,954,745,64,1699,954,745,1699,516,81,435,0
"85",9405,200,4,0.1,0.09,0.05,0.25,0.25,6,1,200,200,150,24,8,18,0,26,8,18,26,1,0,1,0
"86",9406,200,6,0.1,0.09,0.05,0.25,0.25,6,1,200,3000,2085,528,171,199,17,370,171,199,370,30,5,25,0
"87",9407,200,8,0.1,0.09,0.05,0.25,0.25,6,1,200,14000,9242,2869,878,900,111,1778,878,900,1778,74,0,74,0
"88",9408,200,4,0.3,0.27,0.15,0.25,0.25,2,1,200,200,162,15,9,14,0,23,9,14,23,4,1,3,0
"89",9409,200,6,0.3,0.27,0.15,0.25,0.25,2,1,200,3000,2037,531,195,211,26,406,195,211,406,79,5,74,0
"90",9410,200,8,0.3,0.27,0.15,0.25,0.25,2,1,200,14000,9037,3095,857,954,57,1811,857,954,1811,190,10,180,0
"91",9411,200,4,1,0.9,0.5,0.25,0.25,0.6,1,200,200,152,16,13,19,0,32,13,19,32,8,0,8,0
"92",9412,200,6,1,0.9,0.5,0.25,0.25,0.6,1,200,3000,2129,497,185,179,10,364,185,179,364,97,11,86,0
"93",9413,200,8,1,0.9,0.5,0.25,0.25,0.6,1,200,14000,9396,2852,826,812,114,1638,826,812,1638,384,21,363,0
"94",9414,200,4,3,2.7,1.5,0.25,0.25,0.2,1,200,200,153,25,6,16,0,22,6,16,22,8,0,8,0
"95",9415,200,6,3,2.7,1.5,0.25,0.25,0.2,1,200,3000,2119,521,181,160,19,341,181,160,341,96,10,86,0
"96",9416,200,8,3,2.7,1.5,0.25,0.25,0.2,1,200,14000,9407,3084,675,785,49,1460,675,785,1460,438,36,402,0
"97",9417,200,4,0.1,0.01,0.05,0.5,0.25,12,1,200,200,124,27,10,38,1,48,10,38,48,4,1,3,0
"98",9418,200,6,0.1,0.01,0.05,0.5,0.25,12,1,200,3000,1576,543,193,566,122,759,193,566,759,50,0,50,0
"99",9419,200,8,0.1,0.01,0.05,0.5,0.25,12,1,200,14000,6440,3207,1106,2669,578,3775,1106,2669,3775,198,0,198,0
"100",9420,200,4,0.3,0.03,0.15,0.5,0.25,4,1,200,200,136,21,9,33,1,42,9,33,42,9,1,8,0
"101",9421,200,6,0.3,0.03,0.15,0.5,0.25,4,1,200,3000,1660,568,208,500,64,708,208,500,708,97,12,85,0
"102",9422,200,8,0.3,0.03,0.15,0.5,0.25,4,1,200,14000,6337,3320,1208,2552,583,3760,1208,2552,3760,474,23,451,0
"103",9423,200,4,1,0.1,0.5,0.5,0.25,1.2,1,200,200,141,25,4,30,0,34,4,30,34,13,1,12,0
"104",9424,200,6,1,0.1,0.5,0.5,0.25,1.2,1,200,3000,1590,536,199,578,97,777,199,578,777,177,8,169,0
"105",9425,200,8,1,0.1,0.5,0.5,0.25,1.2,1,200,14000,6259,3104,1067,2740,830,3807,1067,2740,3807,901,26,875,0
"106",9426,200,4,3,0.3,1.5,0.5,0.25,0.4,1,200,200,147,25,6,20,2,26,6,20,26,16,2,14,0
"107",9427,200,6,3,0.3,1.5,0.5,0.25,0.4,1,200,3000,1617,574,220,506,83,726,220,506,726,254,12,242,0
"108",9428,200,8,3,0.3,1.5,0.5,0.25,0.4,1,200,14000,6117,3309,1227,2732,615,3959,1227,2732,3959,1498,121,1377,0
"109",9429,200,4,0.1,0.09,0.05,0.5,0.25,12,1,200,200,132,24,11,31,2,42,11,31,42,4,0,4,0
"110",9430,200,6,0.1,0.09,0.05,0.5,0.25,12,1,200,3000,1340,649,238,682,91,920,238,682,920,73,2,71,0
"111",9431,200,8,0.1,0.09,0.05,0.5,0.25,12,1,200,14000,5402,4058,1196,2595,749,3791,1196,2595,3791,216,3,213,0
"112",9432,200,4,0.3,0.27,0.15,0.5,0.25,4,1,200,200,109,29,15,46,1,61,15,46,61,12,1,11,0
"113",9433,200,6,0.3,0.27,0.15,0.5,0.25,4,1,200,3000,1408,651,241,538,162,779,241,538,779,76,3,73,0
"114",9434,200,8,0.3,0.27,0.15,0.5,0.25,4,1,200,14000,4621,3736,1553,2882,1208,4435,1553,2882,4435,466,6,460,0
"115",9435,200,4,1,0.9,0.5,0.5,0.25,1.2,1,200,200,120,23,11,44,2,55,11,44,55,17,3,14,0
"116",9436,200,6,1,0.9,0.5,0.5,0.25,1.2,1,200,3000,1443,665,255,517,120,772,255,517,772,215,30,185,0
"117",9437,200,8,1,0.9,0.5,0.5,0.25,1.2,1,200,14000,5001,4160,1435,2804,600,4239,1435,2804,4239,841,26,815,0
"118",9438,200,4,3,2.7,1.5,0.5,0.25,0.4,1,200,200,126,22,8,41,3,49,8,41,49,24,3,21,0
"119",9439,200,6,3,2.7,1.5,0.5,0.25,0.4,1,200,3000,1405,696,253,575,71,828,253,575,828,283,14,269,0
"120",9440,200,8,3,2.7,1.5,0.5,0.25,0.4,1,200,14000,5506,3768,1227,2630,869,3857,1227,2630,3857,1434,93,1341,0
"121",9441,200,4,0.1,0.01,0.05,0.25,0.25,12,1,200,200,128,37,9,22,4,31,9,22,31,0,0,0,0
"122",9442,200,6,0.1,0.01,0.05,0.25,0.25,12,1,200,3000,1698,657,192,369,84,561,192,369,561,37,3,34,0
"123",9443,200,8,0.1,0.01,0.05,0.25,0.25,12,1,200,14000,6408,3616,1344,2064,568,3408,1344,2064,3408,157,10,147,0
"124",9444,200,4,0.3,0.03,0.15,0.25,0.25,4,1,200,200,127,33,13,24,3,37,13,24,37,5,1,4,0
"125",9445,200,6,0.3,0.03,0.15,0.25,0.25,4,1,200,3000,1709,674,185,404,28,589,185,404,589,41,4,37,0
"126",9446,200,8,0.3,0.03,0.15,0.25,0.25,4,1,200,14000,6504,3916,1281,1894,405,3175,1281,1894,3175,305,18,287,0
"127",9447,200,4,1,0.1,0.5,0.25,0.25,1.2,1,200,200,135,26,12,24,3,36,12,24,36,10,0,10,0
"128",9448,200,6,1,0.1,0.5,0.25,0.25,1.2,1,200,3000,1570,675,235,454,66,689,235,454,689,146,1,145,0
"129",9449,200,8,1,0.1,0.5,0.25,0.25,1.2,1,200,14000,6931,3602,1151,1829,487,2980,1151,1829,2980,556,17,539,0
"130",9450,200,4,3,0.3,1.5,0.25,0.25,0.4,1,200,200,130,31,9,28,2,37,9,28,37,16,0,16,0
"131",9451,200,6,3,0.3,1.5,0.25,0.25,0.4,1,200,3000,1648,663,228,366,95,594,228,366,594,193,21,172,0
"132",9452,200,8,3,0.3,1.5,0.25,0.25,0.4,1,200,14000,6263,3970,1439,1896,432,3335,1439,1896,3335,999,86,913,0
"133",9453,200,4,0.1,0.09,0.05,0.25,0.25,12,1,200,200,127,30,14,29,0,43,14,29,43,2,0,2,0
"134",9454,200,6,0.1,0.09,0.05,0.25,0.25,12,1,200,3000,1371,746,270,508,105,778,270,508,778,41,0,41,0
"135",9455,200,8,0.1,0.09,0.05,0.25,0.25,12,1,200,14000,5932,4072,1511,1955,530,3466,1511,1955,3466,153,10,143,0
"136",9456,200,4,0.3,0.27,0.15,0.25,0.25,4,1,200,200,132,19,13,35,1,48,13,35,48,8,0,8,0
"137",9457,200,6,0.3,0.27,0.15,0.25,0.25,4,1,200,3000,1515,748,246,396,95,642,246,396,642,59,5,54,0
"138",9458,200,8,0.3,0.27,0.15,0.25,0.25,4,1,200,14000,6326,4186,1387,1503,598,2890,1387,1503,2890,346,28,318,0
"139",9459,200,4,1,0.9,0.5,0.25,0.25,1.2,1,200,200,114,31,9,43,3,52,9,43,52,16,1,15,0
"140",9460,200,6,1,0.9,0.5,0.25,0.25,1.2,1,200,3000,1548,720,242,425,65,667,242,425,667,135,2,133,0
"141",9461,200,8,1,0.9,0.5,0.25,0.25,1.2,1,200,14000,5725,4329,1674,1749,523,3423,1674,1749,3423,550,37,513,0
"142",9462,200,4,3,2.7,1.5,0.25,0.25,0.4,1,200,200,121,31,8,34,6,42,8,34,42,18,1,17,0
"143",9463,200,6,3,2.7,1.5,0.25,0.25,0.4,1,200,3000,1397,787,236,478,102,714,236,478,714,237,21,216,0
"144",9464,200,8,3,2.7,1.5,0.25,0.25,0.4,1,200,14000,6341,4083,1206,1912,458,3118,1206,1912,3118,991,52,939,0
